I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
4216,Tsu,1960,2,29,23,40,14,33,5.9,,5.9,,,,,10,MOROCCO,,MOROCCO:  AGADIR,30.45,-9.62,15,13100,4,,,25000,4,120,4,,3,,,13100,4,,,25000,4,120,4,,3,,
6387,Tsu,1960,3,20,17,7,30,20,7.5,,7.5,,,,,,JAPAN,,JAPAN:  SANRIKU,39.8,143.4,30,,,,,,,,1,,,,,,,,,,,,1,,,,
6388,Tsu,1960,3,23,0,23,,20,6.7,,6.7,,,,,,JAPAN,,JAPAN:  SANRIKU,39.4,143.7,30,,,,,,,,,,,,,,,,,,,,,,,,
4223,Tsu,1960,5,21,10,2,50,35,8.2,8.2,7.3,,,,,,CHILE,,CHILE:  CENTRAL,-37.872,-73.243,160,,1,,,,3,,1,,,,,,1,,,,3,,1,,,,
4227,Tsu,1960,5,22,19,11,17,33,9.5,9.5,8.5,,,,,12,CHILE,,"CHILE:  PUERTO MONTT, VALDIVIA",-38.143,-73.407,160,2000,4,,,3000,4,1000,4,58622,4,,,2226,4,,,3000,4,1000,4,58622,4,,
6389,Tsu,1960,6,11,15,14,9,33,6.6,,6.6,,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  W. SOLOMON SEA,-9.4,152.3,170,,,,,,,,,,,,,,,,,,,,,,,,
6591,Tsu,1960,7,29,17,31,45,50,6.7,,6.7,,,,,,JAPAN,,JAPAN:  SANRIKU,40.3,142.5,30,,,,,,,,,,,,,,,,,,,,,,,,
6390,Tsu,1960,11,1,8,45,59,55,7.4,,7.4,,,,,,CHILE,,CHILE:  CONCEPCION,-38.5,-75.1,160,,1,,,,,,1,,,,,,1,,,,,,1,,,,
4234,Tsu,1960,11,20,22,1,56.4,93,6.7,,,,,,6.7,,PERU,,PERU,-6.8,-80.7,160,,,,,,,,,,,,,66,2,,,2,1,0.55,1,,,,
6391,Tsu,1961,1,10,14,22,25.5,59,6.6,6.6,7.1,,,,,,RUSSIA,,RUSSIA:  KAMCHATKA,50.016,156.099,50,,,,,,,,,,,,,,,,,,,,,,,,
6392,Tsu,1961,1,16,7,20,    ,40,,,,,,,,,JAPAN,,JAPAN:  KASHIMA,36,142.3,30,,,,,,,,,,,,,,,,,,,,,,,,
6393,Tsu,1961,1,16,11,19,    ,20,,,,,,,,,JAPAN,,JAPAN:  KASHIMA,36,141.9,30,,,,,,,,,,,,,,,,,,,,,,,,
6394,Tsu,1961,1,16,12,12,    ,20,,,,,,,,,JAPAN,,JAPAN:  KASHIMA,36.2,141.9,30,,,,,,,,,,,,,,,,,,,,,,,,
6395,Tsu,1961,2,12,21,53,    ,80,,,,,,,,,RUSSIA,,RUSSIA:  S. KURIL ISLANDS,43.2,147.9,50,,,,,,,,,,,,,,,,,,,,,,,,
4238,Tsu,1961,2,26,18,10,48.7,74,7.3,,7.3,,,,,,JAPAN,,JAPAN:  MIYAZAKI,31.6,131.8,30,2,1,,,7,1,,2,170,3,170,3,2,1,,,7,1,,2,170,3,,
7780,Tsu,1961,5,23,2,45,,,6.5,,6.5,,,,,,TURKEY,,TURKEY,36.7,28.5,140,,,,,,,,,,,,,,,,,,,,,,,,
6917,Tsu,1961,6,16,10,31,57.3,120,6.5,,6.5,,,,,,COLOMBIA,,COLOMBIA: NORTHEASTERN COLOMBIA,8.9,-73.4,90,,,,,,,,,,,,,,,,,,,,,,,,
