I_D,TSEVENT_ID,YEAR,LATITUDE,LONGITUDE
7784,966,1867,18.341,-64.982
7785,966,1867,17.717,-61.817
947,966,1867,18.342,-64.931
948,966,1867,18.328889,-64.933333
949,966,1867,13.25,-61.2
28050,966,1867,17.897,-62.8371
28034,966,1867,12.013,-61.69627778
28033,966,1867,18.33,-64.948
28041,966,1867,18.327,-64.923
28043,966,1867,11.999,-61.74627778
28042,966,1867,18.145,-66.5
28039,966,1867,18.343333,-64.916667
28036,966,1867,18.319722,-64.953333
938,966,1867,17.633333,-63.233333
7782,966,1867,17.116667,-61.85
950,966,1867,18.42589,-64.623056
953,966,1867,17.739722,-64.738889
941,966,1867,17.745,-64.705
932,966,1867,14.666667,-61
928,966,1867,15.85,-61.6
925,966,1867,15.9958,-61.7292
933,966,1867,18.352,-64.581071
31969,967,1867,25.196,121.677
31970,967,1867,25.2,121.668
29152,967,1867,30.25,121
29153,967,1867,31.34,121.6
956,967,1867,25.17,121.73
31966,967,1867,25.223,121.647
31968,967,1867,,
31971,967,1867,25.2,121.66
31964,967,1867,25.227,121.646
31972,967,1867,25.203,121.686
31965,967,1867,23.6,121.529
31967,967,1867,25.221,121.639
957,969,1868,17.983,-66.05
958,969,1868,18.2,-65.783
7824,969,1868,13,-61.25
7823,969,1868,18.15,-65.45
32217,969,1868,16.24,-61.58
959,969,1868,18.333,-64.917
974,971,1868,19.35,-154.97
962,971,1868,19.25,-155.2
987,971,1868,19.717,-155.071
960,971,1868,32.715,-117.174
961,971,1868,37.807,-122.465
7911,971,1868,19.116,-155.527
988,971,1868,46.208,-123.767
25219,971,1868,19.46,-154.846
967,971,1868,19.733,-155.067
971,971,1868,18.97,-155.62
985,971,1868,19.139,-155.507
28067,971,1868,,
28068,971,1868,,
965,971,1868,19.1,-155.53
969,971,1868,19.087,-155.553
982,971,1868,20.88,-156.68
968,971,1868,21.3,-157.867
970,971,1868,19.3,-155.08
972,971,1868,19.64,-156
973,971,1868,19.37,-154.97
975,971,1868,19.116,-155.527
977,971,1868,20.036,-155.832
978,971,1868,19.47,-154.9
