ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
1889,1959,4,9,12,24,20,2,1,40,5,RUSSIA,,S. KURIL ISLANDS,44.3,149,86,0.1,,-3.3,-2,,,,,,,,,,,,,,,,,,,,,,,,,
1890,1959,5,4,7,15,42,4,1,60,8.2,RUSSIA,,KAMCHATKA,52.5,159.5,86,0.2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
4250,1959,5,7,,,,4,8,,,NORWAY,,NORTHERN NORWAY,69.817,20.917,73,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
1892,1959,8,17,21,4,40,4,1,33,7.3,SOLOMON ISLANDS,,SOLOMON ISLANDS,-7.5,156,82,1,,1.3,,,,,,,,,,2,,,,,,,,,,,,3,,,,
2371,1959,8,18,6,37,13.5,0,3,5,7.5,USA,MT,"HEGBEN LAKE, MONTANA",44.712,-111.215,88,1,,,,,,,,,,,,,,,,,28,1,,,,,11,3,,,,
1893,1959,10,26,7,35,0,4,1,10,6.7,JAPAN,,SANRIKU,37.5,143.2,85,0.11,,-3.3,-4,,,,,,,,,,,,,,,,,,,,,,,,,
1896,1960,1,13,15,40,34,1,1,160,7.8,PERU,,S. PERU,-15.75,-72.75,89,5.7,,2.6,3,,,,,,,,,,,,,,,,,,,,,1,,,,
1897,1960,2,29,23,40,12,1,1,,6.8,MOROCCO,,MOROCCO,30.5,-9.5,77,,,,,,,,,,,,,,,,,,13100,4,,,25000,4,120,4,,3,,
1898,1960,3,20,17,7,30,4,1,20,7.5,JAPAN,,SANRIKU,39.8,143.4,85,1,,0,-2,,,,,,,,,,,,,,,,,,,,,1,,,,
1899,1960,3,23,0,23,,4,1,20,6.7,JAPAN,,SANRIKU,39.4,143.7,85,0.75,,-1,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,
1901,1960,5,21,10,2,50,4,1,35,8.2,CHILE,,CENTRAL CHILE,-37.872,-73.243,89,0.3,,,-1,,,,,,,,,,,,,,,1,,,,3,,1,,,,
1902,1960,5,22,19,11,17,4,1,33,9.5,CHILE,,SOUTHERN CHILE,-38.143,-73.407,89,25,,4.6,4,,2226,4,3000,4,,,1000,4,58622,4,,,2226,4,,,3000,4,1000,4,58622,4,,
1903,1960,5,24,,,,-1,0,,6.7,CHILE,,SOUTHERN CHILE,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,1960,6,11,15,14,9,3,1,33,6.6,PAPUA NEW GUINEA,,SOLOMON SEA,-9.4,152.3,82,,,-0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,
1905,1960,7,29,17,31,45,4,1,30,6.7,JAPAN,,SANRIKU,40.3,142.5,85,0.3,,-1,-3,,,,,,,,,,,,,,,,,,,,,,,,,
1906,1960,11,1,8,45,59,1,1,55,7.4,CHILE,,SOUTHERN CHILE,-38.5,-75.1,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
